group	gene_name	dar_type	mean_expr
day15_white	GSDMD	beige	0.970173533448101
day15_white	ECHDC2	beige	2.73518038457111
day15_white	SHROOM3	beige	0.529937635743915
day15_white	HOTAIR	beige	0.435068715941019
day15_white	SORT1	beige	51.1968973212788
day15_white	HSPB2-C11orf52	white	0.0534764647224192
day15_white	WNK1	white	14.5483250873949
day15_white	LRRC9	beige	0.0222699403807361
day15_white	CRYAB	white	148.934296315211
day15_white	ITFG2	beige	2.56115898034721
day15_white	PIP4K2A	white	15.1128519332477
day15_white	METRNL	white	3.55238102454765
day15_white	SQOR	white	2.63518097696348
day15_white	AC104389.5	white	0.0171129938284018
day15_white	ZBTB38	white	4.91815932011193
day15_white	GCOM1	white	0.807503415076476
day15_white	GPT	beige	3.35304689248283
day15_white	VPS9D1	beige	2.72334099825358
day15_white	FAM47E-STBD1	beige	0.0448105759563367
day15_white	CFLAR	white	7.14919277531283
day15_white	CTSA	beige	21.1546279803565
day15_white	WNK4	white	0.349028754542061
day15_white	ARHGAP22	white	0.700789691432612
day15_white	MYZAP	white	3.19432327263872
day15_white	ZSWIM4	white	1.15161638534638
day15_white	LPAR3	beige	0.0575419344863592
day15_white	COL11A1	white	37.4923716709364
day15_white	PDZD2	beige	0.751594032324425
day15_white	CARD16	white	1.39518392285088
day15_white	AL109615.3	white	0.00844813362041847
day15_white	AC016831.1	white	0.260754976929235
day15_white	PSMA4	beige	15.5223616943397
day15_white	MRPL33	white	36.0784304283336
day15_white	FHL2	white	7.62075908724833
day15_white	ZNF808	beige	1.15753574761815
day15_white	IFI44L	white	0.600675715940185
day15_white	LLPH-DT	white	0.0585549732766549
day15_white	EIF3H	white	21.267102027408
day15_white	LPL	beige	551.954823843857
day15_white	AL365295.1	white	0.15581615951888
day15_white	AC025031.4	white	0.0535463127763587
day15_white	ZNF584	beige	2.03652572235144
day15_white	RUFY3	white	2.5825466238039
day15_white	CHI3L2	beige	242.353017078409
day15_white	AQP7	beige	44.4621335197239
day15_white	STON1	beige	11.9618201207447
day15_white	ANGPTL4	beige	10.4843690299385
day15_white	POLD4	white	2.77957619266592
day15_white	AP000662.1	white	0.285762425285786
day15_white	AC091212.1	white	0.352821845543873
day15_white	SEPTIN9-DT	beige	0.190552152723485
day15_white	CD34	beige	0.117837814429802
day15_white	NAPRT	beige	2.35627065995007
day15_white	AC005082.1	beige	0.0525905352431986
day15_white	BBC3	white	2.4856978716669
day15_white	VIT	white	4.61225753763038
day15_white	ACAD11	beige	1.00288520428064
day15_white	XKR5	beige	0.0049310339922995
day15_white	PDK4	beige	14.8360921856047
day15_white	MBP	beige	0.692001610258733
day15_white	AC017002.3	white	0.255885721056147
day15_white	PCK1	beige	27.1787783117584
day15_white	PLEC	white	4.77655628835009
day15_white	MEST	white	59.0847270192735
day15_white	G0S2	beige	234.177819939726
day15_white	NEURL2	beige	0.396606171425532
day15_white	ADRB1	beige	0.123479165482727
day15_white	NAV1	beige	5.62571105532701
day15_white	STC2	white	24.2054795076221
day15_white	DVL2	beige	5.72102728930087
day15_white	ILRUN	beige	37.6110460966097
day15_white	PLCL1	white	0.881613903108186
day15_white	NWD2	beige	0.00476967414476357
day15_white	TH2LCRR	beige	0.163631842344661
day15_white	HAVCR2	beige	3.72118952323665
day15_white	LINC00887	white	0.0129808422262383
day15_white	NRCAM	beige	23.0350624680572
day15_white	EMB	beige	0.0393808700178503
day15_white	MXRA8	white	46.9229937729176
day15_white	KRT8	white	0.278395637851323
day15_white	DLGAP1	beige	0.00868248187745695
