group	rep	dar_type	mean_expr	log_mean_expr
day15_white	1	white	13.6163652091979	3.86951268205765
day15_white	1	beige	30.4539595388319	4.97516973512301
day15_white	2	white	14.9684477744711	3.99715217614558
day15_white	2	beige	34.7069132913474	5.15813151943752
day15_white	3	white	11.7046920158212	3.66728949722605
day15_white	3	beige	22.6091873424356	4.56127647795261
day3_white	1	white	13.7260359316457	3.88029722170227
day3_white	1	beige	14.2966131755791	3.93514035593088
day3_white	2	white	12.9583946529151	3.80306112243381
day3_white	2	beige	12.2302832498647	3.72577204379048
day3_white	3	white	15.1163935584222	4.0104570361797
day3_white	3	beige	17.0601293516354	4.17473632072356
day1_white	1	white	17.4351295466589	4.20438564940782
day1_white	1	beige	3.4948081608529	2.1682595425935
day1_white	2	white	20.0857769425639	4.39819827612182
day1_white	2	beige	3.68894007130209	2.22926184028974
day1_white	3	white	22.700011919629	4.56681587959678
day1_white	3	beige	4.70877798088134	2.51318195581533
day0_ASC	1	white	16.1739246884789	4.10214786524572
day0_ASC	1	beige	2.2019902757673	1.6789689264914
day0_ASC	2	white	19.3132077692099	4.34434617633872
day0_ASC	2	beige	2.03019209288817	1.59940925332624
day0_ASC	3	white	19.352020746326	4.3471001412692
day0_ASC	3	beige	2.22612194109532	1.68980097057312
day1_beige	1	white	19.8156284895178	4.37959521353951
day1_beige	1	beige	5.13265118003997	2.61651089405081
day1_beige	2	white	20.3381517299373	4.41536331296472
day1_beige	2	beige	6.63207992604982	2.93207627987486
day1_beige	3	white	21.6120805058537	4.49902183343368
day1_beige	3	beige	7.82024468652999	3.14081867881532
day3_beige	1	white	19.8975458568116	4.38526162149511
day3_beige	1	beige	16.7343048844358	4.14847087825149
day3_beige	2	white	17.9016559488875	4.24044072746044
day3_beige	2	beige	25.7145658336659	4.73955466549342
day3_beige	3	white	13.3555158679509	3.84353326986034
day3_beige	3	beige	41.6580431517295	5.41474588147425
day15_beige	1	white	12.2723783687509	3.73035501520725
day15_beige	1	beige	104.293287451561	6.7182696558722
day15_beige	2	white	13.45721668661	3.85371792525863
day15_beige	2	beige	113.624806149735	6.84077548375163
day15_beige	3	white	11.7657558221979	3.67420705281694
day15_beige	3	beige	103.567555321247	6.70829147885455
