Cluster	cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
4	4	GOMF_OXIDOREDUCTASE_ACTIVITY	GOMF_OXIDOREDUCTASE_ACTIVITY	41/317	137/1958	2.11930981461052e-05	0.0043357546623907	0.00413451318218755	ALDH4A1/MECR/ACADM/ACAD8/BBOX1/PRDX5/TM7SF2/NDUFV1/DHCR7/COX6A1/ACADS/FAR2/GPD1/RDH5/DHRS4/L2HGDH/MSRB1/VKORC1/DECR2/LDHD/DHRS11/ACADVL/FASN/GPX4/PRDX2/NDUFB7/CYP4F12/BCKDHA/ETFB/PECR/HADHA/ALDH1L1/ACAD11/KCNAB1/ACAA1/HADH/NDUFS6/NQO2/ME1/DECR1/G6PD	41
1	1	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_CH_GROUP_OF_DONORS	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_CH_GROUP_OF_DONORS	13/399	22/1958	7.14351149601836e-05	0.00465679722389089	0.00439178615729607	SDHB/ACADM/ACAD8/TM7SF2/ACADVL/DUS1L/FASN/TECR/BLVRB/ACAD11/ACAA1/DECR1/CRAT	13
1	1	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	13/399	22/1958	7.14351149601836e-05	0.00465679722389089	0.00439178615729607	HSD17B7/IDI1/SC5D/TM7SF2/MVD/TMEM97/FASN/ECH1/HMGCS1/HMGCR/ACAT2/ABCA2/EBP	13
1	1	GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS	GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS	32/399	83/1958	7.59500453552082e-05	0.00482082919465164	0.00454648332444889	ALDH4A1/GALE/ACADM/ACAD8/TKFC/BAD/SCARB1/ETFA/MTHFS/HAGH/ACSF3/ACADVL/ACAA2/ILVBL/ECH1/BCKDHA/ETFB/HADHB/ACOT8/PFKL/TST/GCAT/ACAD11/PCCB/ACAA1/HADH/ETFDH/ACAT2/DECR1/CRAT/ALDH1B1/GK	32
1	1	GOMF_RNA_BINDING	GOMF_RNA_BINDING	55/399	170/1958	8.1148819366236e-05	0.00501874236695798	0.00473313356681339	DARS2/LSM10/CASP7/CHCHD1/SELENOH/MRPL16/FAU/DDX54/DHX37/YARS2/ZNF385A/TBL3/FLYWCH2/TUFM/THOC6/MRPL28/TRAP1/CFAP20/CLUH/CDC42EP4/MRM3/FASN/ACAA2/MRPL4/RAVER1/FARSA/RPS15/DDX49/MRPS12/SIRT6/NOP53/RPL13A/RPL36/GTF2F1/HADHB/RBM38/CSTB/TRMT2A/TST/RPS19BP1/TWF2/DDX41/NHP2/MRPS18A/C7orf50/IMPDH1/FASTK/TBRG4/MDH2/PUF60/BOP1/LACTB2/MRPS28/SLC25A5/RBM10	55
1	1	GOMF_LIGASE_ACTIVITY	GOMF_LIGASE_ACTIVITY	14/399	25/1958	8.40257678398043e-05	0.0050667538007402	0.00477841274478466	SLC27A3/DARS2/YARS2/SUCLA2/MTHFS/ATP6V0C/ACSF3/ACSF2/ATP5F1D/FARSA/SLC27A1/PCCB/GATB/ACSL4	14
1	1	GOBP_LIPID_METABOLIC_PROCESS	GOBP_LIPID_METABOLIC_PROCESS	68/399	223/1958	9.11493216129556e-05	0.00536224789586461	0.00505709073185102	SLC27A3/HSD17B7/ACADM/IDI1/SC5D/ST3GAL4/ACAD8/AMBRA1/NR1H3/PLAAT3/TM7SF2/GSTP1/SCARB1/RDH5/ETFA/MLST8/CLN3/PIGQ/MVD/ACSF3/LMF1/PEMT/ACLY/ACBD4/PDK2/ACSF2/ACADVL/FDXR/RPTOR/FASN/ACAA2/GPX4/TECR/ILVBL/SLC27A1/ECH1/SIRT6/LIPE/NR1H2/ETFB/ALKBH7/PDK1/HADHB/ACOT8/TSPO/CHKB/ACAD11/PCCB/PLCD1/ACAA1/ABHD5/GPX1/HADH/ETFDH/HMGCS1/HMGCR/ACAT2/AKR1B1/GPAA1/ASAH1/DECR1/ST6GALNAC4/CRAT/ABCA2/ACSL4/G6PD/GK/EBP	68
1	1	GOMF_PURINE_NUCLEOTIDE_BINDING	GOMF_PURINE_NUCLEOTIDE_BINDING	78/399	265/1958	9.94810902090074e-05	0.00571305689486014	0.00538793573788634	SLC27A3/DARS2/GUK1/PFKFB3/TKFC/TM7SF2/NDUFV1/MMAB/DDX54/DHX37/YARS2/SUCLA2/CKB/HSPA2/ITPK1/DNAJA4/MTHFS/IDH2/ABCC6/NME3/NUBP2/TUFM/TRAP1/DNAJA3/RHOT2/PSKH1/MVD/APRT/ACSF3/MYO1C/RASD1/ACLY/RAB5C/ACBD4/PDK2/ACSF2/ACADVL/RAC3/TYK2/STK11/ATP5F1D/FARSA/DDX49/ATP13A1/PAK4/SIRT6/RUVBL2/TIMM44/RAB11B/PDK1/ABCB6/ATP9A/PDXK/PFKL/MIEF1/CHKB/PCCB/KCNAB1/TWF2/HADH/GATB/MAPK10/SLC22A5/RAD50/SIL1/DDX41/GFM2/HMGCR/FASTK/DECR1/RABL6/ABCA2/GRHPR/ALDH1B1/ACSL4/IDH3G/G6PD/GK	78
1	1	GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	39/399	110/1958	0.000111003855665101	0.00622654185730754	0.00587219907202653	SDHB/GUK1/ATP5IF1/PDHX/BAD/NDUFV1/TALDO1/SUCLA2/IDH2/ABCC6/NME3/MLST8/ATP6V0C/MVD/APRT/ACSF3/CTNS/ACLY/PDK2/ACSF2/RPTOR/ATP5F1D/NDUFS7/TECR/NDUFB7/SIRT6/PDK1/ACOT8/PFKL/TSPO/PDHB/HMGCS1/HMGCR/IMPDH1/MDH2/SLC2A6/ACSL4/G6PD/PDHA1	39
4	4	WP_CLEAR_CELL_RENAL_CELL_CARCINOMA_PATHWAYS	WP_CLEAR_CELL_RENAL_CELL_CARCINOMA_PATHWAYS	10/317	16/1958	3.48208591563935e-05	0.00657578532530354	0.00627057415091653	ACACB/TSC2/MLST8/LDHD/SHMT1/ACLY/RPTOR/FASN/CAMK1/ME1	10
