State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.33313227187061895	0.5393568990219031	0.04424045432913699	0.006656830800897402	0.001892890808050504	0.01800549972484506	0.0012276893872439415	9.464396999241848E-4	3.462484798386309E-6	3.389145943573811E-4	0.03397000487131896	0.005826118453244511	0.0010357669639980776	0.013076142266051707	2.906147236109284E-4
2	0.18764304713369018	0.3736638690580003	0.13943313310840702	0.08570693118672201	0.08125289706808003	0.06459097215864233	0.00813910957727533	0.002526438077336183	0.001023552619607345	5.637876670617548E-4	0.04548109818320657	0.0068617164008572965	2.476527771994294E-4	0.0028657949839140428	0.0
3	0.0034355398629832595	0.02990424689785134	0.6454437471426512	0.003592597343689525	0.01741927265835972	0.20344084088626166	0.0032122253416264073	0.0015674587159504672	0.011747742524074047	0.003824840348447623	0.06455606430426586	0.005917156645553068	6.262757759915027E-4	0.004773475852028389	5.385157002661344E-4
4	8.753909578738467E-4	0.04403462113270851	0.008543827990846053	0.6754772959085313	0.1926528759927632	0.0010136620542907791	0.07413924553686856	0.0030610094663626394	2.0207095975499786E-4	0.0	0.0	0.0	0.0	0.0	0.0
5	1.728857114885614E-4	0.027678713426648884	0.029420518277965785	0.13006040258912377	0.5828186948890955	0.007553881854319415	0.21767101968456176	0.0031307808809971607	0.0011367820285952685	0.0	0.0	3.5632065720385306E-4	0.0	0.0	0.0
6	6.708566333318663E-4	0.006508940000904629	0.09264390171662049	2.2141860840671097E-4	0.002309356150753137	0.8307435411034999	0.025228547042156286	0.008723975417701637	0.02608408845764334	0.0	0.00496346533749275	9.354787278044398E-4	0.0	9.66430803684838E-4	0.0
7	7.061261706544904E-5	0.0011710608780450917	0.0026374818684550307	0.022401314395036204	0.09599367249531794	0.03953099707776427	0.8249655365409115	0.010826225836222945	0.0011038910001855446	6.425534533536436E-5	9.267418505711709E-4	1.744875313271979E-4	0.0	1.3372256376233024E-4	0.0
8	6.486311274322795E-4	0.003803147493318013	0.014086587872593773	0.0087426698825591	0.014092801536816222	0.14787168527850733	0.1120909399186863	0.6819856290436792	2.0990512951875795E-4	0.0	0.0	1.6477084692966798E-4	0.009890751582708444	0.0034689794590597586	0.002943500828191171
9	7.588166069008909E-5	6.823850063033795E-4	0.043938823023166255	4.7437199979435176E-4	0.0025740881332318	0.2179401211538426	0.006135008919694157	6.022238191704696E-5	0.6104012360864146	0.030605910516571952	0.060296506943511186	0.022457334072578005	0.004358110102284379	0.0	0.0
10	2.3160381045813495E-5	8.810717350057856E-5	0.003153305259518059	0.0	0.0	0.0	0.0	0.0	0.00611285981586164	0.830657759211233	0.087846018041094	0.053188217291164325	0.018912745750101524	1.7827076481198786E-5	0.0
11	9.115260402783472E-4	0.003711818526416925	0.02339346674524387	0.0	0.0	0.005114483172816614	0.0	0.0	0.0056854003548828394	0.044057616426106304	0.8798185422968838	0.004308120075592388	0.02969984387320236	0.0032991824885763104	0.0
12	0.001714300503838279	0.006629059045948647	0.029042281035228767	0.0	8.280493517788367E-4	0.009298731034884147	0.0013598977960867554	1.366797202276609E-4	0.026252954300502528	0.3161745586428803	0.051704688739629065	0.5378389368522355	0.01308424938095955	0.0053922910260828716	5.433225697171003E-4
13	1.5607997037391284E-4	1.1120796403704725E-4	0.0011937775964206596	0.0	0.0	0.0	0.0	0.0022165404016028334	0.001909145327473691	0.046267383633807696	0.14508536908661696	0.005159229100182536	0.7636777359955794	0.008520067131194726	0.0257034637927104
14	3.325473216354615E-4	1.725887710839552E-4	0.0016222357425449924	0.0	0.0	6.405003516889603E-4	8.435744158576462E-5	1.5024589167572295E-4	0.0	5.588016251783138E-6	0.0029636347283043627	3.933032408755928E-4	0.001483106959597062	0.9823920597801283	0.009759831754627817
15	9.799315932524876E-6	1.7268942964044594E-7	1.637939837979524E-4	0.0	0.0	0.0	0.0	1.336925624604915E-4	0.0	0.0	0.0	3.524624084646972E-5	0.004401236490471694	0.00927609454922445	0.9859799641678367
